[19:49:21] Log file is created
[19:49:21] graph_inputs/05/graph05.csv Graph is imported.
[19:49:21] Physical network is created.
[19:49:34] New release. Bandwidth = 9,source = 2, Dst = 10, id = 11, Release = 0
[19:49:36] New release. Bandwidth = 10,source = 8, Dst = 11, id = 13, Release = 0
[19:49:38] New release. Bandwidth = 7,source = 12, Dst = 11, id = 21, Release = 0
[19:49:39] New release. Bandwidth = 7,source = 12, Dst = 2, id = 8, Release = 0
[19:49:45] New release. Bandwidth = 8,source = 6, Dst = 12, id = 37, Release = 0
[19:49:47] New release. Bandwidth = 3,source = 6, Dst = 7, id = 33, Release = 0
[19:49:49] New release. Bandwidth = 8,source = 3, Dst = 2, id = 39, Release = 0
[19:49:52] New release. Bandwidth = 8,source = 9, Dst = 3, id = 36, Release = 0
[19:49:55] New release. Bandwidth = 5,source = 10, Dst = 4, id = 26, Release = 0
[19:49:57] New release. Bandwidth = 9,source = 10, Dst = 6, id = 56, Release = 0
[19:49:57] New release. Bandwidth = 3,source = 13, Dst = 9, id = 57, Release = 0
[19:49:58] New release. Bandwidth = 6,source = 2, Dst = 11, id = 47, Release = 0
[19:49:59] New release. Bandwidth = 6,source = 13, Dst = 7, id = 22, Release = 0
[19:49:59] New release. Bandwidth = 10,source = 13, Dst = 2, id = 9, Release = 0
[19:49:59] New release. Bandwidth = 1,source = 2, Dst = 13, id = 68, Release = 0
[19:49:59] New release. Bandwidth = 6,source = 7, Dst = 13, id = 15, Release = 0
[19:49:59] New release. Bandwidth = 6,source = 10, Dst = 4, id = 16, Release = 0
[19:50:00] New release. Bandwidth = 3,source = 12, Dst = 10, id = 60, Release = 0
[19:50:01] New release. Bandwidth = 1,source = 11, Dst = 2, id = 30, Release = 0
[19:50:02] New release. Bandwidth = 1,source = 1, Dst = 3, id = 76, Release = 0
[19:50:04] New release. Bandwidth = 2,source = 2, Dst = 5, id = 17, Release = 0
[19:50:04] New release. Bandwidth = 8,source = 9, Dst = 13, id = 83, Release = 0
[19:50:06] New release. Bandwidth = 5,source = 11, Dst = 5, id = 111, Release = 0
[19:50:07] New release. Bandwidth = 4,source = 9, Dst = 12, id = 66, Release = 0
[19:50:08] New release. Bandwidth = 2,source = 10, Dst = 12, id = 25, Release = 0
[19:50:08] New release. Bandwidth = 5,source = 9, Dst = 8, id = 3, Release = 0
[19:50:09] New release. Bandwidth = 4,source = 1, Dst = 12, id = 113, Release = 0
[19:50:10] New release. Bandwidth = 5,source = 3, Dst = 2, id = 51, Release = 0
[19:50:10] New release. Bandwidth = 4,source = 4, Dst = 13, id = 6, Release = 0
[19:50:10] New release. Bandwidth = 3,source = 11, Dst = 5, id = 73, Release = 0
[19:50:10] New release. Bandwidth = 6,source = 0, Dst = 1, id = 77, Release = 0
[19:50:11] New release. Bandwidth = 9,source = 8, Dst = 7, id = 43, Release = 0
[19:50:11] New release. Bandwidth = 2,source = 5, Dst = 11, id = 112, Release = 0
[19:50:11] New release. Bandwidth = 3,source = 6, Dst = 12, id = 48, Release = 0
[19:50:12] New release. Bandwidth = 2,source = 10, Dst = 11, id = 38, Release = 0
[19:50:12] New release. Bandwidth = 5,source = 8, Dst = 2, id = 154, Release = 0
[19:50:12] New release. Bandwidth = 1,source = 9, Dst = 3, id = 59, Release = 0
[19:50:12] New release. Bandwidth = 4,source = 1, Dst = 3, id = 122, Release = 0
[19:50:12] New release. Bandwidth = 4,source = 11, Dst = 9, id = 116, Release = 0
[19:50:13] New release. Bandwidth = 1,source = 12, Dst = 8, id = 2, Release = 0
[19:50:13] New release. Bandwidth = 4,source = 7, Dst = 4, id = 164, Release = 0
[19:50:14] New release. Bandwidth = 10,source = 1, Dst = 0, id = 10, Release = 0
[19:50:14] New release. Bandwidth = 8,source = 12, Dst = 3, id = 86, Release = 0
[19:50:14] New release. Bandwidth = 1,source = 1, Dst = 6, id = 53, Release = 0
[19:50:14] New release. Bandwidth = 6,source = 7, Dst = 1, id = 20, Release = 0
[19:50:14] New release. Bandwidth = 7,source = 1, Dst = 8, id = 69, Release = 0
[19:50:15] New release. Bandwidth = 4,source = 6, Dst = 3, id = 143, Release = 0
[19:50:15] New release. Bandwidth = 2,source = 1, Dst = 6, id = 98, Release = 0
[19:50:16] New release. Bandwidth = 3,source = 8, Dst = 6, id = 99, Release = 0
[19:50:16] New release. Bandwidth = 5,source = 7, Dst = 4, id = 165, Release = 0
[19:50:17] New release. Bandwidth = 7,source = 12, Dst = 0, id = 117, Release = 0
